distance_km,time_of_day,traffic_level,weather_condition,traffic_blocks,holiday,event_nearby,ride_demand_level,fare
39,8,3,Clear,1,0,0,5,77
29,2,2,Rainy,0,1,1,3,33
15,14,2,Clear,2,0,1,3,110
43,20,3,Snowy,2,0,0,5,111
8,10,2,Clear,1,0,0,4,68
21,5,3,Clear,1,0,0,3,18
39,14,1,Clear,4,0,0,3,115
19,6,2,Foggy,3,0,1,2,75
23,18,1,Rainy,3,0,0,1,141
11,13,1,Snowy,3,0,0,3,122
11,3,2,Rainy,0,0,0,3,91
24,20,3,Foggy,0,0,0,2,34
36,0,3,Foggy,1,0,0,2,42
40,23,3,Snowy,2,0,0,2,50
24,22,3,Rainy,2,0,0,2,70
3,12,1,Foggy,4,0,0,4,88
22,10,3,Clear,3,0,0,5,53
2,17,2,Clear,4,0,0,3,69
24,22,1,Clear,0,0,0,2,42
44,8,3,Foggy,1,0,0,5,145
30,20,1,Foggy,4,1,0,1,20
38,10,2,Snowy,0,1,0,5,126
2,5,2,Snowy,2,0,0,1,68
21,15,3,Foggy,3,0,0,1,103
33,4,2,Snowy,0,0,1,4,133
12,0,1,Foggy,1,0,0,3,32
22,21,2,Foggy,2,0,1,5,101
44,13,3,Foggy,2,0,0,1,70
25,22,1,Clear,3,0,0,5,57
49,20,3,Rainy,4,0,0,1,15
27,18,1,Rainy,1,0,1,3,56
42,5,3,Foggy,1,0,0,4,106
28,11,2,Clear,4,0,0,3,148
16,6,2,Rainy,2,0,0,5,123
15,9,3,Rainy,0,0,0,1,52
47,9,3,Snowy,4,0,0,1,50
44,12,3,Foggy,4,0,0,4,51
3,6,3,Snowy,1,0,0,3,6
37,18,3,Clear,2,0,0,5,118
7,0,2,Rainy,3,0,0,4,32
21,14,3,Foggy,0,0,0,4,87
9,13,1,Foggy,1,0,0,2,91
39,12,1,Clear,4,0,0,4,66
18,6,2,Snowy,3,0,0,5,10
4,11,3,Rainy,4,0,0,3,107
25,7,2,Foggy,2,0,0,3,44
14,14,2,Snowy,0,0,1,1,136
9,16,3,Rainy,1,0,0,2,25
26,20,1,Clear,0,0,0,2,106
2,11,1,Clear,4,0,1,3,132
20,12,3,Clear,2,0,1,4,58
28,7,3,Clear,0,0,0,4,138
47,9,3,Snowy,1,0,0,2,49
7,6,3,Snowy,3,0,0,3,133
44,1,3,Clear,4,0,1,5,49
8,15,1,Snowy,3,0,1,2,52
47,3,2,Clear,1,0,0,2,16
35,5,2,Clear,1,0,0,3,107
14,6,1,Rainy,1,0,0,2,35
17,22,3,Foggy,1,0,0,3,132
36,18,3,Snowy,4,1,0,4,5
40,23,2,Clear,4,0,1,4,119
4,22,3,Snowy,0,0,0,1,67
2,3,2,Foggy,4,0,1,1,134
6,9,1,Foggy,0,0,0,2,138
42,3,1,Snowy,0,0,0,3,75
4,19,2,Foggy,2,0,0,3,57
29,4,3,Foggy,0,0,0,5,124
18,13,2,Snowy,0,0,0,1,105
26,10,2,Clear,1,0,1,5,131
44,1,1,Foggy,1,0,0,5,72
34,8,2,Foggy,1,0,0,1,115
10,21,1,Clear,4,0,0,3,107
36,11,1,Snowy,0,0,0,5,87
14,23,1,Clear,2,0,0,1,76
31,0,2,Snowy,1,0,0,3,102
48,21,2,Rainy,2,0,0,2,98
15,14,3,Foggy,2,1,1,1,83
8,5,3,Rainy,1,0,0,1,11
14,23,1,Clear,4,0,0,4,122
23,16,3,Rainy,2,0,1,5,52
40,20,3,Rainy,4,0,0,1,51
21,14,1,Rainy,3,0,0,4,45
16,13,1,Snowy,4,0,0,1,62
45,18,2,Foggy,3,0,0,5,137
18,21,1,Snowy,0,0,0,1,26
47,8,3,Snowy,1,0,0,2,100
24,2,3,Rainy,4,0,1,3,63
26,14,3,Foggy,1,0,1,1,59
25,16,2,Snowy,4,0,0,3,77
45,1,3,Rainy,0,0,0,1,122
41,3,2,Clear,0,0,0,1,28
29,13,3,Snowy,3,0,0,1,122
15,10,2,Foggy,1,0,1,2,23
45,11,3,Snowy,2,0,0,3,142
1,22,2,Rainy,3,0,0,5,48
25,15,3,Rainy,3,0,1,2,72
7,11,1,Snowy,0,0,0,2,131
9,1,1,Snowy,0,0,0,4,114
24,6,2,Foggy,2,0,0,4,19
1,20,2,Clear,3,0,0,3,146
44,22,3,Foggy,1,0,0,4,55
8,2,2,Rainy,3,0,0,3,79
24,2,2,Rainy,0,0,0,4,43
11,12,2,Clear,0,0,1,1,65
17,6,3,Clear,4,0,0,3,149
8,4,3,Clear,1,0,0,4,101
